央视,#genre#
喜剧,http://angtv.cc/test/as.php?id=xj
动作,http://angtv.cc/test/as.php?id=dz
家庭,http://angtv.cc/test/as.php?id=jt
星影,http://angtv.cc/test/as.php?id=xy
综合,#genre#
武侠,http://angtv.cc/test/as.php?id=wx
足球,http://angtv.cc/test/as.php?id=zq
美妆,http://angtv.cc/test/as.php?id=mz
军事,http://angtv.cc/test/as.php?id=js
武术,http://angtv.cc/test/as.php?id=ws
国学,http://angtv.cc/test/as.php?id=gx
戏曲,http://angtv.cc/test/as.php?id=xq
早教,http://angtv.cc/test/as.php?id=zj
动画,http://angtv.cc/test/as.php?id=dh
热门,http://angtv.cc/test/as.php?id=rm
军旅,http://angtv.cc/test/as.php?id=jl
古装,http://angtv.cc/test/as.php?id=gz
音乐,http://angtv.cc/test/as.php?id=yy
课堂,http://angtv.cc/test/as.php?id=kt
探索,http://angtv.cc/test/as.php?id=ts
鉴赏,http://angtv.cc/test/as.php?id=js
光影,http://angtv.cc/test/as.php?id=gy
台球,http://angtv.cc/test/as.php?id=tq
味道,http://angtv.cc/test/as.php?id=wd
高网,http://angtv.cc/test/as.php?id=gw
地理,http://angtv.cc/test/as.php?id=dl
科学,http://angtv.cc/test/as.php?id=kx
动作影院,http://angtv.cc/test/as.php?id=dzyy
家庭影院,http://angtv.cc/test/as.php?id=jtyy
武侠剧场,http://angtv.cc/test/as.php?id=wxjc
喜剧影院,http://angtv.cc/test/as.php?id=xjyy
IPTV,#genre#
IPTV3+,http://angtv.cc/test/as.php?id=iptv3
IPTV5+,http://angtv.cc/test/as.php?id=iptv5
IPTV5+,http://angtv.cc/test/as.php?id=iptv5a
IPTV6+,http://angtv.cc/test/as.php?id=iptv6
IPTV8+,http://angtv.cc/test/as.php?id=iptv8
IPTV谍战剧场,http://angtv.cc/test/as.php?id=iptvdzjc
IPTV相声小品,http://angtv.cc/test/as.php?id=iptvxsxp
IPTV热播剧场,http://angtv.cc/test/as.php?id=iptvrbjc
IPTV经典电影,http://angtv.cc/test/as.php?id=iptvjddy
IPTV魅力时尚,http://angtv.cc/test/as.php?id=iptvmlss
IPTV少儿动画,http://angtv.cc/test/as.php?id=iptvsedh
IPTV野外,http://angtv.cc/test/as.php?id=iptvyw
IPTV法治,http://angtv.cc/test/as.php?id=iptvfz
IPTV收视指南,http://angtv.cc/test/as.php?id=iptvsszn

少儿,#genre#
卡酷少儿,http://angtv.cc/test/as.php?id=kkse
新动漫,http://angtv.cc/test/as.php?id=xdm
嘉佳卡通,http://angtv.cc/test/as.php?id=jjkt

湖南,#genre#
金鹰纪实高清,http://angtv.cc/test/as.php?id=jyjs
金鹰卡通,http://angtv.cc/test/as.php?id=jykt
先锋乒羽,http://angtv.cc/test/as.php?id=xfpy
其他,#genre#
爱上4K,http://angtv.cc/test/as.php?id=as4k
爱上4Kx,http://angtv.cc/test/as.php?id=as
网络棋牌,http://angtv.cc/test/as.php?id=wlqp
山东教育卫视,http://angtv.cc/test/as.php?id=dsjy
财富天下,http://angtv.cc/test/as.php?id=cftx

